+----+-----+-----------+---+
|year|month|crime_total|  #|
+----+-----+-----------+---+
|2010|    1|      19514|  1|
|2010|    3|      18131|  2|
|2010|    7|      17856|  3|
|2011|    1|      18133|  1|
|2011|    7|      17283|  2|
|2011|   10|      17034|  3|
|2012|    1|      17942|  1|
|2012|    8|      17662|  2|
|2012|    5|      17502|  3|
|2013|    8|      17440|  1|
|2013|    1|      16819|  2|
|2013|    7|      16643|  3|
|2014|    7|      13588|  1|
|2014|   10|      13519|  2|
|2014|    5|      13441|  3|
|2015|   10|      19218|  1|
|2015|    8|      19011|  2|
|2015|    7|      18709|  3|
|2016|   10|      19659|  1|
|2016|    8|      19490|  2|
|2016|    7|      19448|  3|
|2017|   10|      20430|  1|
|2017|    7|      20192|  2|
|2017|    1|      19832|  3|
|2018|    5|      19970|  1|
|2018|    7|      19874|  2|
|2018|    8|      19761|  3|
|2020|    1|      18491|  1|
|2020|    2|      17252|  2|
|2020|    5|      17203|  3|
|2021|   12|      24691|  1|
|2021|   10|      24602|  2|
|2021|   11|      23847|  3|
|2022|    5|      20407|  1|
|2022|   10|      20258|  2|
|2022|    6|      20195|  3|
|2023|    8|      19655|  1|
|2023|    7|      19654|  2|
|2023|    1|      19613|  3|
+----+-----+-----------+---+

Execution time with 4 executor(s): 28.78 seconds
