+----+-----+-----------+
|year|month|crime_total|
+----+-----+-----------+
|2010|    1|      19514|
|2010|    3|      18131|
|2010|    7|      17856|
|2011|    1|      18133|
|2011|    7|      17283|
|2011|   10|      17034|
|2012|    1|      17942|
|2012|    8|      17662|
|2012|    5|      17502|
|2013|    8|      17440|
|2013|    1|      16819|
|2013|    7|      16643|
|2014|    7|      13588|
|2014|   10|      13519|
|2014|    5|      13441|
|2015|   10|      19218|
|2015|    8|      19011|
|2015|    7|      18709|
|2016|   10|      19659|
|2016|    8|      19490|
|2016|    7|      19448|
|2017|   10|      20430|
|2017|    7|      20192|
|2017|    1|      19832|
|2018|    5|      19970|
|2018|    7|      19874|
|2018|    8|      19761|
|2020|    1|      18491|
|2020|    2|      17252|
|2020|    5|      17203|
|2021|   12|      24691|
|2021|   10|      24602|
|2021|   11|      23847|
|2022|    5|      20407|
|2022|   10|      20258|
|2022|    6|      20195|
|2023|    8|      19655|
|2023|    7|      19654|
|2023|    1|      19613|
+----+-----+-----------+

Execution time with 4 executor(s): 29.11 seconds
