+----+-----+-----------+---+
|year|month|crime_total|  #|
+----+-----+-----------+---+
|2010|    1|      11738|  1|
|2010|   10|       7374|  2|
|2010|   12|       6747|  3|
|2011|    1|      11514|  1|
|2011|   11|       6594|  2|
|2011|   10|       6582|  3|
|2012|    1|      11293|  1|
|2012|   12|       6585|  2|
|2012|    5|       6489|  3|
|2013|    1|      10696|  1|
|2013|   12|       6269|  2|
|2013|   10|       6134|  3|
|2014|    1|       6464|  1|
|2014|   10|       5163|  2|
|2014|    3|       5132|  3|
|2015|    1|      11102|  1|
|2015|   10|       6947|  2|
|2015|    3|       6919|  3|
|2016|    1|      11352|  1|
|2016|    5|       7403|  2|
|2016|   10|       7348|  3|
|2017|    1|      11343|  1|
|2017|   10|       7603|  2|
|2017|    3|       7581|  3|
|2018|    1|      10716|  1|
|2018|    5|       7606|  2|
|2018|   10|       7507|  3|
|2020|    1|       9062|  1|
|2020|    2|       6517|  2|
|2020|    3|       6479|  3|
|2021|    1|      12280|  1|
|2021|    3|       8847|  2|
|2021|    5|       8844|  3|
|2022|    1|      12012|  1|
|2022|    2|      10617|  2|
|2022|    3|       9817|  3|
|2023|    1|       8880|  1|
|2023|    2|       7704|  2|
|2023|    3|       7649|  3|
+----+-----+-----------+---+

Execution time with 4 executor(s): 39.71 seconds
