+----+-----+-----------+
|year|month|crime_total|
+----+-----+-----------+
|2010|    1|      11738|
|2010|   10|       7374|
|2010|   12|       6747|
|2011|    1|      11514|
|2011|   11|       6594|
|2011|   10|       6582|
|2012|    1|      11293|
|2012|   12|       6585|
|2012|    5|       6489|
|2013|    1|      10696|
|2013|   12|       6269|
|2013|   10|       6134|
|2014|    1|       6464|
|2014|   10|       5163|
|2014|    3|       5132|
|2015|    1|      11102|
|2015|   10|       6947|
|2015|    3|       6919|
|2016|    1|      11352|
|2016|    5|       7403|
|2016|   10|       7348|
|2017|    1|      11343|
|2017|   10|       7603|
|2017|    3|       7581|
|2018|    1|      10716|
|2018|    5|       7606|
|2018|   10|       7507|
|2020|    1|       9062|
|2020|    2|       6517|
|2020|    3|       6479|
|2021|    1|      12280|
|2021|    3|       8847|
|2021|    5|       8844|
|2022|    1|      12012|
|2022|    2|      10617|
|2022|    3|       9817|
|2023|    1|       8880|
|2023|    2|       7704|
|2023|    3|       7649|
+----+-----+-----------+

